ts,date,nav,cash,open_positions,realized_pnl
1785154623,2026-07-27,15848.7002,15600.9054,7,5845.0124
1785154803,2026-07-27,15859.2954,15674.8385,6,5858.7725
1785154983,2026-07-27,15863.5271,15669.3109,6,5863.4179
1785155163,2026-07-27,15879.2039,15747.0430,5,5878.6160
1785155343,2026-07-27,15873.3210,15712.9142,7,5873.2762
1785155703,2026-07-27,15893.0492,15643.0874,8,5890.7014
1785155883,2026-07-27,15884.5782,15631.6571,10,5884.3351
1785156063,2026-07-27,15890.0462,15701.8793,6,5889.5573
1785156243,2026-07-27,15901.6406,15773.6998,4,5902.0508
1785156423,2026-07-27,15912.1591,15759.0896,6,5912.0866
1785156604,2026-07-27,15923.5663,15678.0372,7,5922.0422
1785156783,2026-07-27,15962.0591,15787.1773,6,5961.8013
1785156964,2026-07-27,15975.2101,15781.0958,6,5974.7928
1785157143,2026-07-27,16001.1311,15824.6246,6,6001.6906
1785157323,2026-07-27,16005.0507,15812.1552,6,6005.6102
1785157503,2026-07-27,16045.3649,15758.7975,9,6043.7875
1785157863,2026-07-27,16097.5395,15811.2585,12,6098.5365
1785158043,2026-07-27,16146.4223,15928.5357,10,6148.0787
1785158223,2026-07-27,16199.6247,16013.1559,8,6201.9649
1785158404,2026-07-27,16198.1718,15970.9883,9,6199.8863
1785158764,2026-07-27,16209.3547,15957.9116,10,6208.4226
1785159124,2026-07-27,16213.3543,15963.9089,11,6214.7269
1785159484,2026-07-27,16215.3197,15937.9420,11,6216.8850
1785159663,2026-07-27,16227.4117,16092.7855,8,6228.7765
1785159843,2026-07-27,16232.9550,16078.6733,8,6233.4643
1785160023,2026-07-27,16233.9601,16045.3913,9,6232.2113
1785160202,2026-07-27,16234.2212,16094.4040,6,6232.2580
1785160382,2026-07-27,16234.8151,16089.7334,7,6232.5874
1785160562,2026-07-27,16240.9820,16060.1322,7,6237.1092
1785160743,2026-07-27,16271.2398,16111.2562,7,6269.1412
1785161103,2026-07-27,16288.4926,16116.9107,7,6286.6227
1785161282,2026-07-27,16308.8799,16116.1741,8,6306.3951
1785161462,2026-07-27,16335.8506,16138.6358,9,6333.4638
1785161643,2026-07-27,16352.1767,16082.6428,10,6349.4558
1785162003,2026-07-27,16356.1284,16126.2463,9,6354.2513
1785162183,2026-07-27,16356.2668,16103.0252,10,6354.5612
1785162362,2026-07-27,16364.9775,16151.4926,8,6363.3056
1785162543,2026-07-27,16378.3428,16162.7167,9,6378.8917
1785162723,2026-07-27,16359.4009,16202.8605,9,6359.0695
1785162903,2026-07-27,16330.7227,16216.8587,6,6331.4297
1785163083,2026-07-27,16311.4072,16190.5424,6,6312.0354
1785163263,2026-07-27,16313.8964,16139.6118,8,6314.5658
1785163443,2026-07-27,16315.5075,16223.2296,5,6314.8726
1785163623,2026-07-27,16314.4174,16209.9648,7,6315.7198
1785163802,2026-07-27,16315.8555,16249.7050,5,6316.0880
1785163983,2026-07-27,16325.6160,16209.0126,6,6325.3956
1785164163,2026-07-27,16337.1035,16226.8140,7,6337.4830
1785164343,2026-07-27,16342.1462,16228.4595,5,6342.6375
1785164523,2026-07-27,16343.2930,16216.5993,4,6342.6713
1785164702,2026-07-27,16340.4142,16226.3414,5,6339.7924
1785164883,2026-07-27,16344.1954,16180.2906,5,6343.5736
1785165063,2026-07-27,16345.8839,16214.4218,4,6346.1478
1785165243,2026-07-27,16347.4827,16221.0206,3,6347.7466
1785165422,2026-07-27,16347.7746,16216.3125,4,6348.0385
1785165603,2026-07-27,16350.9965,16158.4263,6,6350.7353
1785165783,2026-07-27,16356.5636,16229.4931,4,6358.0681
1785165963,2026-07-27,16352.8370,16222.8924,5,6354.1404
1785166142,2026-07-27,16361.8004,16208.7038,5,6363.3048
1785166323,2026-07-27,16370.6088,16198.9505,6,6372.6895
1785166503,2026-07-27,16370.3435,16129.9904,8,6372.2284
1785166683,2026-07-27,16368.3412,16239.0834,5,6368.8284
1785166863,2026-07-27,16366.3347,16194.3157,7,6366.5257
1785167043,2026-07-27,16393.9222,16263.6065,6,6393.8455
1785167223,2026-07-27,16394.2067,16236.0413,7,6393.1853
1785167402,2026-07-27,16398.1854,16258.8837,6,6397.2667
1785167582,2026-07-27,16404.6824,16244.6408,6,6403.7638
1785167764,2026-07-27,16398.1228,16225.6098,8,6397.3428
1785168123,2026-07-27,16391.5625,16248.4859,8,6389.8179
1785168484,2026-07-27,16402.1715,16353.7178,4,6401.7718
1785168663,2026-07-27,16407.6815,16346.0002,5,6406.7102
1785168843,2026-07-27,16410.1457,16348.1175,5,6409.1745
1785169023,2026-07-27,16409.6861,16313.8187,7,6408.9207
1785169203,2026-07-27,16407.1471,16358.0590,5,6407.4510
1785169383,2026-07-27,16408.3774,16329.3753,6,6408.6813
1785169563,2026-07-27,16410.4992,16372.4031,5,6410.8031
1785169744,2026-07-27,16410.9673,16334.3472,5,6411.1732
1785169924,2026-07-27,16413.9950,16367.0088,4,6414.2008
1785170103,2026-07-27,16417.7269,16394.5328,2,6417.9328
1785170283,2026-07-27,16418.5772,16380.5161,3,6418.7831
1785170462,2026-07-27,16420.5488,16402.2567,1,6420.6567
1785170643,2026-07-27,16424.7976,16406.5054,1,6424.9054
1785170822,2026-07-27,16419.3959,16352.1677,3,6419.5037
1785171003,2026-07-27,16409.9569,16409.9569,0,6409.9569
1785171182,2026-07-27,16406.4634,16349.4212,2,6407.1662
1785171363,2026-07-27,16405.7507,16354.9451,1,6404.9451
1785171542,2026-07-27,16398.1044,16354.3916,2,6397.9016
1785171722,2026-07-27,16395.0974,16233.3529,4,6394.7659
1785171903,2026-07-27,16394.7439,16265.0063,4,6394.5903
1785172083,2026-07-27,16406.5309,16226.1375,5,6405.5195
1785172263,2026-07-27,16417.4239,16248.1556,5,6415.2186
1785172443,2026-07-27,16418.6127,16208.7079,6,6416.5919
1785172623,2026-07-27,16422.1507,16228.7450,6,6421.1160
1785172808,2026-07-27,16434.7080,16266.4158,6,6433.0088
1785172983,2026-07-27,16445.3571,16230.7594,7,6443.6434
