[16:42:58] === 开始监控 TNOS / SOL (jLVprkYrvz...) ===
[16:42:59] 已知操盘方钱包(bundler/transfer_in/creator/dev_team标签): 40个
[16:42:59] 检测条件: 单笔买入>=$50 且钱包不在上面这个名单里 -> 判定疑似真买家
[16:42:59] 每10秒查一次最新成交,最长跑33分钟
[17:02:13] *** 疑似真买家信号#94 *** 钱包3NJmmnnAbY... 买入$212.12 (不在已知操盘方名单里,tx=3Qovhr9DGmxu...)
[17:02:13] *** 疑似真买家信号#95 *** 钱包3rMPS6YYNC... 买入$103.27 (不在已知操盘方名单里,tx=4qV92sm8VGhC...)
[17:02:13] *** 疑似真买家信号#96 *** 钱包3t6Mj7WbAi... 买入$72.59 (不在已知操盘方名单里,tx=ndJKUzjohaV6...)
[17:03:24] *** 疑似真买家信号#97 *** 钱包QjrG5e8A5Q... 买入$107.17 (不在已知操盘方名单里,tx=i3iHtmTFjK4j...)
[17:03:24] *** 疑似真买家信号#98 *** 钱包EMkpZK1RXV... 买入$132.24 (不在已知操盘方名单里,tx=3J8XZJsJkdCz...)
[17:03:24] *** 疑似真买家信号#99 *** 钱包HnFDakMhjs... 买入$99.40 (不在已知操盘方名单里,tx=SuRtJsLSBKpi...)
[17:03:24] *** 疑似真买家信号#100 *** 钱包74uruJNfyd... 买入$189.60 (不在已知操盘方名单里,tx=21rJBboiHETT...)
[17:03:24] *** 疑似真买家信号#101 *** 钱包Hmm2oxd7Fj... 买入$261.62 (不在已知操盘方名单里,tx=L1trYX815F8X...)
[17:03:24] *** 疑似真买家信号#102 *** 钱包GXv4Yijdwo... 买入$90.74 (不在已知操盘方名单里,tx=2x1v73xvon7R...)
[17:03:24] *** 疑似真买家信号#103 *** 钱包9R1pCfnzaa... 买入$212.47 (不在已知操盘方名单里,tx=39kVzeSa4RhS...)
[17:04:01] *** 疑似真买家信号#104 *** 钱包CLFvQFc7GV... 买入$208.91 (不在已知操盘方名单里,tx=4q16euYFexme...)
[17:04:01] *** 疑似真买家信号#105 *** 钱包6dwiBAMbiE... 买入$75.59 (不在已知操盘方名单里,tx=nhEXLVybydnR...)
[17:04:01] *** 疑似真买家信号#106 *** 钱包Hqru2XbPpb... 买入$70.00 (不在已知操盘方名单里,tx=41rfdTRCFJV3...)
[17:04:39] *** 疑似真买家信号#107 *** 钱包J5jEXSoRHW... 买入$216.13 (不在已知操盘方名单里,tx=2wYiNbZVBnUD...)
[17:05:13] *** 疑似真买家信号#108 *** 钱包jKA5HF2MWY... 买入$159.14 (不在已知操盘方名单里,tx=3JY7EVs2GChz...)
[17:05:13] *** 疑似真买家信号#109 *** 钱包8hVxnb58T1... 买入$153.33 (不在已知操盘方名单里,tx=5wrU8n8vfAwp...)
[17:05:13] *** 疑似真买家信号#110 *** 钱包5LcbBTCaVh... 买入$115.54 (不在已知操盘方名单里,tx=3wJEfiAvA4b7...)
[17:05:13] *** 疑似真买家信号#111 *** 钱包6vUPeRx6EH... 买入$86.66 (不在已知操盘方名单里,tx=2RPpyhbZbceK...)
[17:05:51] *** 疑似真买家信号#112 *** 钱包2r6RAdLvMG... 买入$172.80 (不在已知操盘方名单里,tx=5yBSksEXqoxZ...)
[17:05:51] *** 疑似真买家信号#113 *** 钱包AdxV6gqrS7... 买入$108.98 (不在已知操盘方名单里,tx=76dZSUoij1wh...)
[17:05:51] *** 疑似真买家信号#114 *** 钱包C4tmGLaNWr... 买入$213.45 (不在已知操盘方名单里,tx=2BjaFpQmaLsf...)
[17:06:25] *** 疑似真买家信号#115 *** 钱包2kJfcyqLb2... 买入$80.17 (不在已知操盘方名单里,tx=3YJTWmiEgGCq...)
[17:06:25] *** 疑似真买家信号#116 *** 钱包5dHy33K5hX... 买入$362.63 (不在已知操盘方名单里,tx=55UJiQ9id9Wx...)
[17:06:25] *** 疑似真买家信号#117 *** 钱包cw5hDsKAVK... 买入$223.63 (不在已知操盘方名单里,tx=5EUpnQAW7tqz...)
[17:06:25] *** 疑似真买家信号#118 *** 钱包27rpumT1V7... 买入$299.53 (不在已知操盘方名单里,tx=5noGCFeUVbp1...)
[17:06:25] *** 疑似真买家信号#119 *** 钱包BFCrqDdVVh... 买入$100.24 (不在已知操盘方名单里,tx=3PTNw8BNFn6P...)
[17:07:39] *** 疑似真买家信号#120 *** 钱包C4tmGLaNWr... 买入$55.74 (不在已知操盘方名单里,tx=5rmyPKobjDPq...)
[17:07:39] *** 疑似真买家信号#121 *** 钱包J3siUNWK5s... 买入$113.98 (不在已知操盘方名单里,tx=4bTJfiWz8gsh...)
[17:07:39] *** 疑似真买家信号#122 *** 钱包21A3hBY9DB... 买入$169.14 (不在已知操盘方名单里,tx=4e6KDDch6nvC...)
[17:07:39] *** 疑似真买家信号#123 *** 钱包9sxRFEidE3... 买入$174.68 (不在已知操盘方名单里,tx=3HHSNtqbvP41...)
[17:07:39] *** 疑似真买家信号#124 *** 钱包2zXDxiiTnQ... 买入$201.05 (不在已知操盘方名单里,tx=2sP5p2Ssj83H...)
[17:08:49] *** 疑似真买家信号#125 *** 钱包BfGnL8aoJx... 买入$141.67 (不在已知操盘方名单里,tx=3R7V9EauZpJq...)
[17:09:27] *** 疑似真买家信号#126 *** 钱包ALVMJ9bny8... 买入$269.13 (不在已知操盘方名单里,tx=msSkmotiDFTc...)
[17:09:27] *** 疑似真买家信号#127 *** 钱包GGnBv48ys1... 买入$127.41 (不在已知操盘方名单里,tx=3cpEKNTrudcm...)
[17:09:27] *** 疑似真买家信号#128 *** 钱包AK9QXueCqn... 买入$71.87 (不在已知操盘方名单里,tx=3nzFBt87Dzre...)
[17:09:27] *** 疑似真买家信号#129 *** 钱包GBECDL1Esk... 买入$212.70 (不在已知操盘方名单里,tx=5c7QjMGAKjFw...)
[17:09:27] *** 疑似真买家信号#130 *** 钱包5ca4XRt5YF... 买入$162.21 (不在已知操盘方名单里,tx=nsTQgmd3RUJ6...)
[17:09:27] *** 疑似真买家信号#131 *** 钱包ErJrTGN3yz... 买入$226.13 (不在已知操盘方名单里,tx=57pgWxorGhRP...)
[17:10:38] *** 疑似真买家信号#132 *** 钱包G9p2jUk5ME... 买入$102.68 (不在已知操盘方名单里,tx=2SVCyGWgoa4H...)
[17:10:38] *** 疑似真买家信号#133 *** 钱包8gHAzVhGam... 买入$74.10 (不在已知操盘方名单里,tx=4i9v7MDg1bkZ...)
[17:10:38] *** 疑似真买家信号#134 *** 钱包2zXDxiiTnQ... 买入$64.68 (不在已知操盘方名单里,tx=9eyPm1S7PaDo...)
[17:10:38] *** 疑似真买家信号#135 *** 钱包FdZsSmw8xt... 买入$90.62 (不在已知操盘方名单里,tx=61wM9R2srpzK...)
