[02:48:29] === 2AbGRmWy 高密度崩盘取证监控启动 ===
[02:48:30] 基线: 价格$0.00064757 流动性$56,921
[05:06:24] 价格$0.00087371  流动性$65,817(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.4%
[05:07:25] 价格$0.00088075  流动性$66,480(峰值$66,480)  已存档300笔逐笔
[05:08:25] 价格$0.00088631  流动性$66,480(峰值$66,480)  已存档300笔逐笔
[05:09:27] 价格$0.00088631  流动性$66,480(峰值$66,480)  已存档300笔逐笔
[05:10:28] 价格$0.00088463  流动性$66,658(峰值$66,658)  已存档300笔逐笔
[05:11:29] 价格$0.00088879  流动性$66,642(峰值$66,658)  已存档300笔逐笔  操盘方卖出比例=86.3%
[05:12:30] 价格$0.00088206  流动性$66,732(峰值$66,732)  已存档300笔逐笔
[05:13:31] 价格$0.00088405  流动性$66,572(峰值$66,732)  已存档300笔逐笔
[05:14:32] 价格$0.00087548  流动性$66,065(峰值$66,732)  已存档300笔逐笔
[05:15:33] 价格$0.00086965  流动性$66,070(峰值$66,732)  已存档300笔逐笔
[05:16:34] 价格$0.00086965  流动性$66,070(峰值$66,732)  已存档300笔逐笔  操盘方卖出比例=86.4%
[05:17:35] 价格$0.00086872  流动性$65,768(峰值$66,732)  已存档300笔逐笔
[05:18:36] 价格$0.00086379  流动性$65,843(峰值$66,732)  已存档300笔逐笔
[05:19:37] 价格$0.00086379  流动性$65,843(峰值$66,732)  已存档300笔逐笔
[05:20:38] 价格$0.00086271  流动性$65,457(峰值$66,732)  已存档300笔逐笔
[05:21:39] 价格$0.00087648  流动性$65,743(峰值$66,732)  已存档300笔逐笔  操盘方卖出比例=86.4%
[05:22:40] 价格$0.00087648  流动性$65,743(峰值$66,732)  已存档300笔逐笔
[05:23:41] 价格$0.00088125  流动性$66,135(峰值$66,732)  已存档300笔逐笔
[05:24:42] 价格$0.00088125  流动性$66,135(峰值$66,732)  已存档300笔逐笔
[05:25:43] 价格$0.00087624  流动性$66,175(峰值$66,732)  已存档300笔逐笔
[05:26:44] 价格$0.00088074  流动性$66,291(峰值$66,732)  已存档300笔逐笔  操盘方卖出比例=86.4%
[05:27:45] 价格$0.00088094  流动性$66,364(峰值$66,732)  已存档300笔逐笔
[05:28:46] 价格$0.00088094  流动性$66,364(峰值$66,732)  已存档300笔逐笔
[05:29:47] 价格$0.00088161  流动性$66,427(峰值$66,732)  已存档300笔逐笔
[05:30:48] 价格$0.00087886  流动性$65,920(峰值$66,732)  已存档300笔逐笔
[05:31:50] 价格$0.00087886  流动性$65,920(峰值$66,732)  已存档300笔逐笔  操盘方卖出比例=86.4%
[05:32:50] 价格$0.00087857  流动性$66,467(峰值$66,732)  已存档300笔逐笔
[05:33:51] 价格$0.00087842  流动性$66,439(峰值$66,732)  已存档300笔逐笔
[05:34:52] 价格$0.00088577  流动性$66,538(峰值$66,732)  已存档300笔逐笔
[05:35:53] 价格$0.00088577  流动性$66,538(峰值$66,732)  已存档300笔逐笔
