[15:48:29] === EnxNwE5V 高密度崩盘取证监控启动 ===
[15:48:30] 基线: 价格$0.00050999 流动性$49,721
[19:29:36] 价格$0.00058180  流动性$53,794(峰值$53,794)  已存档1笔逐笔
[19:30:37] 价格$0.00058202  流动性$53,757(峰值$53,794)  已存档1笔逐笔
[19:31:38] 价格$0.00058210  流动性$53,464(峰值$53,794)  已存档2笔逐笔  操盘方卖出比例=0.3%
[19:32:38] 价格$0.00058210  流动性$53,464(峰值$53,794)  已存档1笔逐笔
[19:33:40] 价格$0.00058265  流动性$53,753(峰值$53,794)  已存档3笔逐笔
[19:34:40] 价格$0.00058209  流动性$53,783(峰值$53,794)  已存档2笔逐笔
[19:35:41] 价格$0.00058209  流动性$53,783(峰值$53,794)  已存档2笔逐笔
[19:36:42] 价格$0.00058362  流动性$53,832(峰值$53,832)  已存档2笔逐笔  操盘方卖出比例=0.4%
[19:37:43] 价格$0.00058379  流动性$53,866(峰值$53,866)  已存档2笔逐笔
[19:38:44] 价格$0.00058452  流动性$53,930(峰值$53,930)  已存档3笔逐笔
[19:39:45] 价格$0.00058452  流动性$53,930(峰值$53,930)  已存档0笔逐笔
[19:40:46] 价格$0.00058397  流动性$53,570(峰值$53,930)  已存档3笔逐笔
[19:41:47] 价格$0.00057781  流动性$53,887(峰值$53,930)  已存档2笔逐笔  操盘方卖出比例=0.4%
[19:42:47] 价格$0.00058480  流动性$53,894(峰值$53,930)  已存档2笔逐笔
[19:43:48] 价格$0.00058426  流动性$53,570(峰值$53,930)  已存档2笔逐笔
[19:44:49] 价格$0.00058442  流动性$53,570(峰值$53,930)  已存档3笔逐笔
[19:45:49] 价格$0.00058442  流动性$53,570(峰值$53,930)  已存档3笔逐笔
[19:46:51] 价格$0.00057748  流动性$53,908(峰值$53,930)  已存档3笔逐笔  操盘方卖出比例=0.4%
[19:47:51] 价格$0.00058431  流动性$53,610(峰值$53,930)  已存档1笔逐笔
[19:48:52] 价格$0.00058431  流动性$53,610(峰值$53,930)  已存档0笔逐笔
[19:49:53] 价格$0.00058366  流动性$53,896(峰值$53,930)  已存档2笔逐笔
[19:50:54] 价格$0.00058366  流动性$53,896(峰值$53,930)  已存档1笔逐笔
[19:51:55] 价格$0.00057826  流动性$53,698(峰值$53,930)  已存档4笔逐笔  操盘方卖出比例=0.4%
[19:52:56] 价格$0.00058548  流动性$53,985(峰值$53,985)  已存档1笔逐笔
[19:53:57] 价格$0.00058557  流动性$54,001(峰值$54,001)  已存档3笔逐笔
[19:54:58] 价格$0.00057880  流动性$54,030(峰值$54,030)  已存档2笔逐笔
[19:55:59] 价格$0.00058653  流动性$54,015(峰值$54,030)  已存档2笔逐笔
[19:57:00] 价格$0.00058653  流动性$54,015(峰值$54,030)  已存档4笔逐笔  操盘方卖出比例=0.4%
[19:58:00] 价格$0.00058664  流动性$53,733(峰值$54,030)  已存档1笔逐笔
[19:59:01] 价格$0.00058664  流动性$53,733(峰值$54,030)  已存档2笔逐笔
[20:00:02] 价格$0.00058723  流动性$53,716(峰值$54,030)  已存档2笔逐笔
[20:01:03] 价格$0.00058663  流动性$54,070(峰值$54,070)  已存档2笔逐笔
[20:02:04] 价格$0.00058007  流动性$54,071(峰值$54,071)  已存档2笔逐笔  操盘方卖出比例=0.4%
[20:03:05] 价格$0.00058007  流动性$54,071(峰值$54,071)  已存档2笔逐笔
