[01:56:01] === AZyerget 高密度崩盘取证监控启动 ===
[01:56:01] 基线: 价格$0.01011135 流动性$228,417
[05:02:42] 价格$0.01218533  流动性$251,184(峰值$252,499)  已存档300笔逐笔
[05:03:42] 价格$0.01220705  流动性$252,043(峰值$252,499)  已存档300笔逐笔
[05:04:43] 价格$0.01226902  流动性$251,294(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[05:05:44] 价格$0.01226902  流动性$251,294(峰值$252,499)  已存档300笔逐笔
[05:06:45] 价格$0.00811681  流动性$205,778(峰值$252,499)  已存档300笔逐笔
[05:07:46] 价格$0.00811681  流动性$205,778(峰值$252,499)  已存档300笔逐笔
[05:08:47] 价格$0.00816303  流动性$205,149(峰值$252,499)  已存档300笔逐笔
[05:09:48] 价格$0.00820894  流动性$205,806(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[05:10:49] 价格$0.00822241  流动性$206,608(峰值$252,499)  已存档300笔逐笔
[05:11:51] 价格$0.00827342  流动性$206,915(峰值$252,499)  已存档300笔逐笔
[05:12:52] 价格$0.00827342  流动性$206,915(峰值$252,499)  已存档300笔逐笔
[05:13:52] 价格$0.00831958  流动性$207,541(峰值$252,499)  已存档300笔逐笔
[05:14:54] 价格$0.00831958  流动性$207,541(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[05:15:54] 价格$0.00835008  流动性$208,125(峰值$252,499)  已存档300笔逐笔
[05:16:56] 价格$0.00842256  流动性$208,596(峰值$252,499)  已存档300笔逐笔
[05:17:57] 价格$0.00843614  流动性$208,541(峰值$252,499)  已存档300笔逐笔
[05:18:58] 价格$0.00846871  流动性$209,023(峰值$252,499)  已存档300笔逐笔
[05:19:59] 价格$0.00850331  流动性$209,700(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[05:21:00] 价格$0.00850331  流动性$209,700(峰值$252,499)  已存档300笔逐笔
[05:22:01] 价格$0.00857331  流动性$210,413(峰值$252,499)  已存档300笔逐笔
[05:23:02] 价格$0.00857534  流动性$210,249(峰值$252,499)  已存档300笔逐笔
[05:24:03] 价格$0.00857534  流动性$210,249(峰值$252,499)  已存档300笔逐笔
