[16:12:33] === 4hBWjMa6 高密度崩盘取证监控启动 ===
[16:12:34] 基线: 价格$0.01725050 流动性$297,188
[18:55:25] 价格$0.05013172  流动性$508,514(峰值$508,514)  已存档91笔逐笔  操盘方卖出比例=3.2%
[18:56:26] 价格$0.05026096  流动性$510,746(峰值$510,746)  已存档77笔逐笔
[18:57:27] 价格$0.05057567  流动性$511,836(峰值$511,836)  已存档98笔逐笔
[18:58:28] 价格$0.05075185  流动性$513,365(峰值$513,365)  已存档84笔逐笔
[18:59:29] 价格$0.05105985  流动性$514,332(峰值$514,332)  已存档88笔逐笔
[19:00:30] 价格$0.05141609  流动性$516,426(峰值$516,426)  已存档91笔逐笔  操盘方卖出比例=3.2%
[19:01:30] 价格$0.05170933  流动性$517,468(峰值$517,468)  已存档92笔逐笔
[19:02:31] 价格$0.05189498  流动性$518,582(峰值$518,582)  已存档75笔逐笔
[19:03:32] 价格$0.05217888  流动性$520,600(峰值$520,600)  已存档86笔逐笔
[19:04:33] 价格$0.05217888  流动性$520,600(峰值$520,600)  已存档97笔逐笔
[19:05:35] 价格$0.05233774  流动性$522,820(峰值$522,820)  已存档85笔逐笔  操盘方卖出比例=3.3%
[19:06:35] 价格$0.05233774  流动性$522,820(峰值$522,820)  已存档92笔逐笔
[19:07:36] 价格$0.05319179  流动性$525,084(峰值$525,084)  已存档84笔逐笔
[19:08:37] 价格$0.05334540  流动性$526,259(峰值$526,259)  已存档88笔逐笔
[19:09:37] 价格$0.05334540  流动性$526,259(峰值$526,259)  已存档84笔逐笔
[19:10:39] 价格$0.05359287  流动性$528,507(峰值$528,507)  已存档89笔逐笔  操盘方卖出比例=3.4%
[19:11:39] 价格$0.05402859  流动性$530,189(峰值$530,189)  已存档91笔逐笔
[19:12:40] 价格$0.05396916  流动性$531,075(峰值$531,075)  已存档84笔逐笔
[19:13:42] 价格$0.05443941  流动性$531,062(峰值$531,075)  已存档87笔逐笔
[19:14:42] 价格$0.05443941  流动性$531,062(峰值$531,075)  已存档89笔逐笔
[19:15:44] 价格$0.05477968  流动性$533,340(峰值$533,340)  已存档86笔逐笔  操盘方卖出比例=3.4%
[19:16:44] 价格$0.05498471  流动性$534,604(峰值$534,604)  已存档78笔逐笔
[19:17:45] 价格$0.05506672  流动性$536,731(峰值$536,731)  已存档101笔逐笔
[19:18:46] 价格$0.05561880  流动性$537,931(峰值$537,931)  已存档79笔逐笔
[19:19:47] 价格$0.05561880  流动性$537,931(峰值$537,931)  已存档93笔逐笔
